Aboleth                                  -> tokens/aberration/Aboleth.webp
Acolyte                                  -> tokens/humanoid/Acolyte.webp
Adult Black Dragon                       -> tokens/dragon/BlackDragonAdult.webp
Adult Blue Dragon                        -> tokens/dragon/BlueDragonAdult.webp
Adult Brass Dragon                       -> tokens/dragon/BrassDragonAdult.webp
Adult Bronze Dragon                      -> tokens/dragon/BronzeDragonAdult.webp
Adult Copper Dragon                      -> tokens/dragon/CopperDragonAdult.webp
Adult Gold Dragon                        -> tokens/dragon/GoldDragonAdult.webp
Adult Green Dragon                       -> tokens/dragon/GreenDragonAdult.webp
Adult Red Dragon                         -> tokens/dragon/RedDragonAdult.webp
Adult Silver Dragon                      -> tokens/dragon/SilverDragonAdult.webp
Adult White Dragon                       -> tokens/dragon/WhiteDragonAdult.webp
Ancient Black Dragon                     -> tokens/dragon/YoungBlackDragon.webp
Ancient Blue Dragon                      -> tokens/dragon/BlueDragonAncient.webp
Ancient Brass Dragon                     -> tokens/dragon/YoungBrassDragon.webp
Ancient Bronze Dragon                    -> tokens/dragon/YoungBronzeDragon.webp
Ancient Copper Dragon                    -> tokens/dragon/YoungCopperDragon.webp
Ancient Gold Dragon                      -> tokens/dragon/YoungGoldDragon.webp
Ancient Green Dragon                     -> tokens/dragon/YoungGreenDragon.webp
Ancient Red Dragon                       -> tokens/dragon/RedDragonAncient.webp
Ancient Silver Dragon                    -> tokens/dragon/YoungSilverDragon.webp
Ancient White Dragon                     -> tokens/dragon/YoungWhiteDragon.webp
Androsphinx                              -> tokens/monstrosity/Androsphinx.webp
Animated Armor                           -> tokens/construct/AnimatedArmor.webp
Ankheg                                   -> tokens/monstrosity/Ankheg.webp
Ape                                      -> tokens/beast/Ape.webp
Archmage                                 -> tokens/humanoid/Archmage.webp
Assassin                                 -> tokens/humanoid/Assassin.webp
Awakened Shrub                           -> tokens/plant/AwakenedShrub.webp
Axe Beak                                 -> tokens/beast/AxeBeak.webp
Azer                                     -> tokens/elemental/Azer.webp
Baboon                                   -> tokens/beast/Baboon.webp
Badger                                   -> tokens/beast/Badger.webp
Balor                                    -> tokens/fiend/Balor.webp
Bandit Captain                           -> tokens/humanoid/BanditCaptain.webp
Bandit                                   -> tokens/humanoid/Bandit.webp
Barbed Devil                             -> tokens/fiend/Barbed.webp
Basilisk                                 -> tokens/monstrosity/Basilisk.webp
Bat                                      -> tokens/beast/Bat.webp
Bearded Devil                            -> tokens/fiend/BeardedDevil.webp
Behir                                    -> tokens/monstrosity/Behir.webp
Berserker                                -> tokens/humanoid/Berserker.webp
